symbol,enabled,value_threshold_bps,value_depth_participation,value_gap_elasticity,value_max_depth_participation,value_trigger_mode,value_maximum_news_rechecks,cluster_id,candidate_id
BPOP,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
BPR,1,5,0.050000000000000003,0.5,0.10000000000000001,news_impulse,16,6,value_5bps_5pct_eta050_cap010_r16
BREW,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
BRKL,1,5,0.050000000000000003,0.5,0.10000000000000001,news_impulse,16,6,value_5bps_5pct_eta050_cap010_r16
BRKR,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
BRKS,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
BRY,1,10,0.20000000000000001,0,1,news_impulse,16,1,value_10bps_20pct_r16
BSET,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
BSGM,1,10,0.20000000000000001,0,1,news_impulse,16,1,value_10bps_20pct_r16
BSRR,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
BUSE,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
BWB,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
BWEN,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
CAAS,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
CAC,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
CACC,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
CAKE,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
CALA,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
CALM,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
CAMP,1,5,0.050000000000000003,0.5,0.10000000000000001,news_impulse,16,6,value_5bps_5pct_eta050_cap010_r16
CAR,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
CARA,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
CARG,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
CARO,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
CASA,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
CASH,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
CASI,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
CASS,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
CASY,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
CATB,1,10,0.20000000000000001,0,1,news_impulse,16,1,value_10bps_20pct_r16
CATS,1,10,0.20000000000000001,0,1,news_impulse,16,1,value_10bps_20pct_r16
CATY,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
CBAY,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
CBIO,1,10,0.20000000000000001,0,1,news_impulse,16,1,value_10bps_20pct_r16
CBMG,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
CBRL,1,5,0.20000000000000001,1,0.75,news_impulse,16,7,value_5bps_20pct_eta100_cap075_r16
CBSH,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
CBTX,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
CCBG,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
CCD,1,5,0.050000000000000003,0.5,0.10000000000000001,news_impulse,16,6,value_5bps_5pct_eta050_cap010_r16
CCMP,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
CCNE,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
CCOI,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
