book_id,symbol,data_dir,hawkes_rates_file,fundamental_price_ticks,fundamental_volatility_bps_sqrt_second,fundamental_move_probability_per_second,fundamental_conditional_kurtosis,initial_best_bid_ticks,initial_best_ask_ticks,initial_best_bid_depth,initial_best_ask_depth,beta,basket_weight,market_maker_quote_quantity,target_spread_ticks,quote_improvement_probability,target_mean_bid_depth,target_mean_ask_depth,fundamental_log_variance_persistence,fundamental_log_variance_std,fundamental_order_flow_coupling
46,AGNC,data/empirical/pooled/pooled_five_2019_sessions_agnc,data/empirical/pooled/pooled_five_2019_sessions_agnc/hawkes_rates_agnc_pooled_five_2019_sessions.csv,186950.0,0.50665555162489451,0.0082567631095345952,3.4718674402299032,186500,187400,120,500,0.79866666666666664,0.0,100,1,0.01075155016560002,8524.6420769230772,8299.5136324786326,0.94999999999999996,0.25,0.14684855564149249
47,AGTC,data/empirical/pooled/pooled_five_2019_sessions_agtc,data/empirical/pooled/pooled_five_2019_sessions_agtc/hawkes_rates_agtc_pooled_five_2019_sessions.csv,72850.0,5.8991423085260664,0.0078379417923842894,23.950997862087998,71200,74500,2216,500,0.14999999999999999,0.0,50,6,0.49667931688804556,358.18399145299145,914.44858119658124,0.94999999999999996,0.25,0.36419212403997098
48,AGYS,data/empirical/pooled/pooled_five_2019_sessions_agys,data/empirical/pooled/pooled_five_2019_sessions_agys/hawkes_rates_agys_pooled_five_2019_sessions.csv,331300.0,2.3414258440399851,0.027018248643104405,63.623062724126036,327600,335000,100,200,1.002,0.0,50,7,0.38054565055145534,136.48992307692308,153.96437606837608,0.94999999999999996,0.25,0.42535994603367877
49,AIMC,data/empirical/pooled/pooled_five_2019_sessions_aimc,data/empirical/pooled/pooled_five_2019_sessions_aimc/hawkes_rates_aimc_pooled_five_2019_sessions.csv,355000.0,2.4292775286038331,0.061652207359288856,520.63941387343152,337700,372300,67,100,1.3124444444444445,0.0,50,5,0.33485131941709334,173.69563247863249,162.58170940170939,0.94999999999999996,0.25,0.42535994603367877
50,AIMT,data/empirical/pooled/pooled_five_2019_sessions_aimt,data/empirical/pooled/pooled_five_2019_sessions_aimt/hawkes_rates_aimt_pooled_five_2019_sessions.csv,324500.0,2.600749233899061,0.06988332834736527,22.538910451061,319000,330000,10,678,1.0071111111111111,0.0,50,5,0.31229207172175416,198.17945299145299,181.44120512820513,0.94999999999999996,0.25,0.31472892968491073
51,AINV,data/empirical/pooled/pooled_five_2019_sessions_ainv,data/empirical/pooled/pooled_five_2019_sessions_ainv/hawkes_rates_ainv_pooled_five_2019_sessions.csv,176550.0,0.696685607977788,0.013333903158254626,23.729229206855269,175100,178000,100,29,0.70199999999999996,0.0,50,2,0.14343356710538957,408.35138461538463,472.0543076923077,0.94999999999999996,0.1222182091484173,0
52,AIRG,data/empirical/pooled/pooled_five_2019_sessions_airg,data/empirical/pooled/pooled_five_2019_sessions_airg/hawkes_rates_airg_pooled_five_2019_sessions.csv,96950.0,2.4742928235665698,0.011496217787084918,30.595825246179601,87400,106500,100,100,0.52044444444444449,0.0,50,12,0.50148456057007129,168.7945299145299,243.2052222222222,0.94999999999999996,0.25,0.42535994603367877
53,AKAM,data/empirical/pooled/pooled_five_2019_sessions_akam,data/empirical/pooled/pooled_five_2019_sessions_akam/hawkes_rates_akam_pooled_five_2019_sessions.csv,948600.0,1.1396721343338612,0.16284456600709432,88.86431014360609,935000,962200,1340,348,3.7191111111111113,0.0,50,3,0.3174609974041106,190.94292307692308,182.56127350427352,0.94999999999999996,0.11621735476962097,0
54,AKBA,data/empirical/pooled/pooled_five_2019_sessions_akba,data/empirical/pooled/pooled_five_2019_sessions_akba/hawkes_rates_akba_pooled_five_2019_sessions.csv,74250.0,2.6049280020304786,0.022924056583614686,35.897162862197256,72300,76200,100,247,0.24311111111111111,0.0,50,1,0.14354430379746835,961.47294017094009,902.25224786324782,0.94999999999999996,0.25,0.36419212403997098
55,AKCA,data/empirical/pooled/pooled_five_2019_sessions_akca,data/empirical/pooled/pooled_five_2019_sessions_akca/hawkes_rates_akca_pooled_five_2019_sessions.csv,176350.0,3.6798450548870525,0.039882046241292365,284.31875416641509,167500,185200,1,96,1.0093333333333334,0.0,50,16,0.46749777382012464,125.09732478632479,152.39268376068375,0.94999999999999996,0.25,0.054854410483294959
56,AKRX,data/empirical/pooled/pooled_five_2019_sessions_akrx,data/empirical/pooled/pooled_five_2019_sessions_akrx/hawkes_rates_akrx_pooled_five_2019_sessions.csv,15200.0,2.7454774494406071,0.0096670797897346044,10.276214471582383,14800,15600,1399,500,0.15555555555555556,0.0,50,1,0.030945092787449779,3370.6126153846153,2874.0074700854702,0.94999999999999996,0.25,0.14684855564149249
57,AKTS,data/empirical/pooled/pooled_five_2019_sessions_akts,data/empirical/pooled/pooled_five_2019_sessions_akts/hawkes_rates_akts_pooled_five_2019_sessions.csv,78150.0,2.6960502689624124,0.017616137441771016,18.29482718967332,77800,78500,4,1069,0.32244444444444442,0.0,50,3,0.32479485473497449,531.1463504273504,682.07076068376068,0.94999999999999996,0.25,0.36419212403997098
58,ALBO,data/empirical/pooled/pooled_five_2019_sessions_albo,data/empirical/pooled/pooled_five_2019_sessions_albo/hawkes_rates_albo_pooled_five_2019_sessions.csv,213700.0,3.9958157823624023,0.022710372238129835,16.585443795960288,213000,214400,200,100,1.213111111111111,0.0,50,29,0.62180327868852459,184.08824786324789,112.90357264957265,0.94999999999999996,0.25,0.0096468091552598823
