symbol,cluster_id
WEN,9
WERN,5
WETF,8
WEYS,0
WHF,6
WHLR,4
WIFI,5
WING,2
WIRE,2
WLDN,3
WNEB,3
WPRT,4
WRLD,0
WRTC,1
WSBC,3
WSBF,6
WSC,6
WSFS,5
WTBA,3
WTER,4
WTFC,5
WWD,2
WYNN,7
XBIO,4
XBIT,1
XEL,9
XELB,4
XENE,1
XENT,3
XERS,1
XLNX,7
XLRN,2
XNCR,3
XOG,8
XOMA,0
XON,4
XONE,1
XPER,5
XRAY,5
YGYI,1
YMAB,0
YORW,0
YRCW,4
Z,9
ZAGG,6
ZBRA,2
ZEUS,1
ZG,5
ZGNX,2
ZION,9
ZIOP,8
ZIXI,6
ZNGA,8
ZS,5
ZSAN,4
ZUMZ,5
ZYNE,4
